Link|Alt_Text
Slovensko|Slovenskej republiky
Slovenská republika (1939 – 1945)|vojnového Slovenského štátu
Slovensko
generálmajor
Ľubomír Svoboda
Dopravné krídlo generála Milana Rastislava Štefánika Kuchyňa|Dopravné krídlo generála Milana Rastislava Štefánika
Taktické krídlo generálmajora Otta Smika Sliač|Taktické krídlo generálmajora Otta Smika
Vrtuľníkové krídlo generálplukovníka Jána Ambruša Prešov|Vrtuľníkové krídlo generálplukovníka Jána Ambruša
Protilietadlová raketová brigáda Nitra|Protilietadlová raketová brigáda obrancov Tobruku
Brigáda riadenia vzdušných operácií Zvolen|Brigáda riadenia vzdušných operácií
Súbor:Official-emblem-of-ossr.png|22px
Ozbrojené sily Slovenskej republiky
Súbor:Coat of Arms of Slovakia.svg|75px
Súbor:Roundel of Slovakia – Low Visibility.svg|75px
Aero L-39 Albatros|L-39ZAM
Let L-410 Turbolet|L-410FG
Mikojan-Gurevič MiG-29|MiG-29AS/UBS
Aero L-39 Albatros|L-39CM/ZAM
Alenia C-27J Spartan|C-27J
Let L-410 Turbolet|L-410UVP-E14/20
Sikorsky UH-60 Black Hawk|UH-60M
Mil Mi-17|Mi-17M/LPZS
Ozbrojené sily Slovenskej republiky|Ozbrojených síl
Slovensko|Slovenskej republiky
generálmajor
Ľubomír Svoboda
Štefan Gombík
Jozef Dunaj
Juraj Baránek
Martin Babiak
Miroslav Korba
Ľubomír Svoboda
1989
Česko-slovenská armáda|česko-slovenskej armády
7. máj
1991
Letisko Sliač|Sliač
30. november|30. novembra
Zvolen
Nitra|Nitre
Rožňava|Rožňave
Pezinok|Pezinku
október|októbri
1992
Česká a Slovenská Federatívna Republika|ČSFR
Česko-Slovensko|Česko-Slovenska
1. november|1. novembra
Trenčín
1. január
1993
Slovensko|Slovenskej republiky
Biele Albatrosy
Royal International Air Tattoo
RAF Fairford|Fairforde
Mikojan-Gurevič MiG-29|MiG-29A
Mikojan-Gurevič MiG-29|MiG-29UB
Mikojan-Gurevič MiG-21|MiG-21MA
Mikojan-Gurevič MiG-21|MiG-21MF
Mikojan-Gurevič MiG-21|MiG-21R
Mikojan-Gurevič MiG-21|MiG-21UM
Mikojan-Gurevič MiG-21|MiG-21US
Suchoj Su-22 (Su-17, Su-20)|Su-22M4
Suchoj Su-22 (Su-17, Su-20)|Su-22UM-3K
Suchoj Su-25|Su-25K
Suchoj Su-25|Su-25UBK
Aero L-29 Delfín|L-29
Aero L-39 Albatros|L-39C
Aero L-39 Albatros|L-39MS
Aero L-39 Albatros|L-39V
Aero L-39 Albatros|L-39ZA
Mil Mi-2|Mi-2
Mil Mi-8|Mi-8PPA
Mil Mi-8|Mi-8PS
Mil Mi-8|Mi-8T
Mil Mi-17|Mi-17
Mil Mi-17|Mi-17Z-2
Mil Mi-24|Mi-24D
Mil Mi-24|Mi-24DU
Mil Mi-24|Mi-24V
Let L-410 Turbolet|L-410MA
Let L-410 Turbolet|L-410FG
Let L-410 Turbolet|L-410UVP
Let L-410 Turbolet|L-410UVP-E
Let L-410 Turbolet|L-410UVP-T
Antonov An-12|An-12BP
Antonov An-24|An-24V
Antonov An-26|An-26
Tupolev Tu-154|Tu-154B-2
december|decembra
1993
január
1994
1. november|1. novembra
Mikojan-Gurevič MiG-29|Mikojan-Gurevič MiG-29A
1995
Ustka
Poľsko|Poľsku
1996
Šabla
Bulharsko|Bulharsku
Mikojan-Gurevič MiG-29|MiG-29A
Mikojan-Gurevič MiG-21|MiG-21MF
K-13 (raketa vzduch-vzduch)|R-3S
K-13 (raketa vzduch-vzduch)|R-13
R-60 (raketa vzduch-vzduch)|R-60
S-125 Neva/Pečora|S-125
Ivan Hůlek|Ivana Hůleka
Royal International Air Tattoo
RAF Fairford|Fairforde
15. marec|15. marca
Aero L-29 Delfín|L-29 Delfín
december|decembra
január
1996
Mikojan-Gurevič MiG-21|MiGy-21MF
Letisko Sliač|Sliač
1998
1999
Mikojan-Gurevič MiG-29|MiG-29
1. január
2000
Veliteľstvo Vzdušných síl Ozbrojených síl Slovenskej republiky|Veliteľstvo vzdušných síl
Jozef Dunaj
3. jún
Biele Albatrosy
Aero L-39 Albatros|L-39C Albatros
2002
2K12 Kub
6. november|6. novembra
stredoeurópsky čas|SEČ
Organizácia Severoatlantickej zmluvy|NATO
2003
Suchoj Su-17 (Su-20, Su-22)|Suchoj Su-22
Suchoj Su-25
Aero L-29 Delfín
Mikojan-Gurevič MiG-21
2004
2006
Medzinárodná organizácia pre civilné letectvo|ICAO
29. február
2008
19. január
2006
Antonov An-24
Letecké nešťastie slovenského An-24|leteckej katastrofe
Ministerstvo obrany Slovenskej republiky|Ministerstva obrany SR
Kosovo|Kosove
september|septembri
2011
Mil Mi-24
Beechcraft Super King Air|Beechcraft B200 Super King Air
28. júl
2015
Mil Mi-17|Mi-17M
Terňa
podpráporčík|pprap.
Armáda Českej republiky|Armády Českej republiky
15. február
2017
Aero L-29 Delfín|L-29 Delfín
NATO Integrated Air and Missile Defence System|NATINAMDS
Sliač
Kováčová (okres Zvolen)|Kováčová
stredoeurópsky letný čas|SELČ
Aero L-39 Albatros|L-39ZAM Albatros
Nové Sady (okres Nitra)|Nové Sady
Mikojan-Gurevič MiG-29|MiGov-29AS
Quick Reaction Alert|vzlet v ostrej pohotovosti
Combined Air Operations Centre Uedem|Uedeme
Nemecko|Nemecku
Letisko M. R. Štefánika|letisko v Bratislave
Nové Sady (okres Nitra)|Nové Sady
Nitra (okres)|Nitra
Podhorany (okres Nitra)|Podhorany
Peter Gajdoš
Jaroslav Naď
pandémia koronavírusu SARS-CoV-2|pandémie koronavírusu SARS-CoV-2
Letecká základňa Malacky|Malacky-Kuchyňa
dopravné lietadlo
Alenia C-27J Spartan|C-27J Spartan
Libanon
Česko|Česka
Maďarsko|Maďarska
Rakúsko|Rakúska
Cyprus|Cypru
stíhacie lietadlo|stíhacie lietadlá
Mikojan-Gurevič MiG-29|MiG-29
Organizácia Severoatlantickej zmluvy|NATO
január
2014
švédsko
Saab JAS 39 Gripen|JAS 39 Gripen
MiG|RSK MiG
júl
Martin Glváč
stíhacie lietadlo
18. marec|18. marca
2015
Saab JAS 39 Gripen|JAS 39 Gripen
Foreign Military Sales|FMS
2016
Spojené štáty|USA
Rusko
MiG-35
Švédsko
Maďarsko
Česko
Poľsko|Poľska
Taliansko|Talianska
Grécko|Grécka
4. apríl
2018
Ministerstvo zahraničných vecí Spojených štátov
General Dynamics F-16 Fighting Falcon|F-16C/D Block 70
Lockheed Martin F-35 Lightning II|F-35 Lightning II
Lockheed Martin F-22 Raptor|F-22 Raptor
11. júl
Saab JAS 39 Gripen|JAS 39C/D Gripen
2022
Greenville
Južná Karolína|Južnej Karolíne
2024
Medzinárodné letisko Tucson|Morrisovej základni Leteckej národnej gardy
Tucson
Arizona|Arizone
Texas|Texase
Columbus
Mississippi
Peter Gajdoš
12. december|12. decembra
Peter Pellegrini
NATINAMDS
Mike Pompeo
12. február
2019
Jaroslav Naď
Miroslav Lajčák
AIM-9 Sidewinder|AIM-9X Block II
Aero L-39 Albatros|L-39ZAM Albatros
Aero L-159 Alca|L-159T2 Alca
Aero L-39NG
BAE Systems Hawk|CT-155 Hawk
Sheppard Air Force Base|Sheppardovej leteckej základni
Texas
United States Air Force|Vzdušné sily USA
belgické vzdušné sily
Dassault/Dornier Alpha Jet|Alpha Jet
Alenia C-27J Spartan|C-27J Spartan
Ozbrojené sily Slovenskej republiky|ozbrojených síl
7. august
24. október|24. októbra
26. február
9. apríl
29. apríl
2015
21. apríl
Sikorsky UH-60 Black Hawk|UH-60M Black Hawk
americký dolár|USD
apríl
2017
Bell Helicopter
Bell 429 GlobalRanger
Ozbrojené sily Slovenskej republiky
26. jún
Letecká základňa Prešov|leteckej základni v Prešove
Sikorsky UH-60 Black Hawk|Sikorsky UH-60M Black Hawk
12. júl
26. august
Minigun|M134 Gatling
Sikorsky HH-60 Pave Hawk|HH-60W
AgustaWestland AW139|HH-139A
Mikojan-Gurevič MiG-29|MiGu-29AS
Letisko Sliač|Sliač
Organizácia Severoatlantickej zmluvy|Organizácie Severoatlantickej zmluvy
NATO Integrated Air and Missile Defence System|Systému integrovanej protivzdušnej a protiraketovej obrany NATO
Európa|európskych
Turecko|Turecka
Allied Air Command|Spojeneckého veliteľstva vzdušných síl
Letecká základňa Ramstein|Ramstein
Nemecko|Nemecku
Letisko Sliač|Sliač
Quick Reaction Alert|pohotovosti
stíhacie lietadlo|stíhacie lietadlá
Mikojan-Gurevič MiG-29|MiG-29AS
radar
Vzdušné sily Armády Českej republiky|Vzdušnými silami Armády Českej republiky
Česko
Renegade
Súbor:Fighter-jet-blue-icon.svg|15px
Súbor:Helicopter-blue-icon.svg|15px
Súbor:Aiga departingflights inv.svg|15px
Súbor:Red ff0000 pog.svg|8px
Súbor:Yellow ffff00 pog.svg|8px
Letisko Sliač|'''Sliač'''
Letecká základňa Malacky|'''Malacky'''
Letecká základňa Prešov|'''Prešov'''
Brigáda riadenia vzdušných operácií Zvolen|Zvolen
Protilietadlová raketová brigáda Nitra|Nitra
Veliteľstvo Vzdušných síl Ozbrojených síl Slovenskej republiky|Veliteľstvo Vzdušných síl OS SR
Zvolen
Dopravné krídlo generála Milana Rastislava Štefánika Kuchyňa|Dopravné krídlo generála Milana Rastislava Štefánika
Letecká základňa Malacky|Malacky-Kuchyňa
Alenia C-27J Spartan|C-27J Spartan
Let L-410 Turbolet|L-410FG Turbolet
Let L-410 Turbolet|L-410UVP-E14 Turbolet
Let L-410 Turbolet|L-410UVP-E20 Turbolet
Taktické krídlo generálmajora Otta Smika Sliač|Taktické krídlo generálmajora Otta Smika
Letisko Sliač|Sliač
Letecká základňa Malacky|Malacky-Kuchyňa
Mikojan-Gurevič MiG-29|MiG-29AS
Mikojan-Gurevič MiG-29|MiG-29UBS
Aero L-39 Albatros|L-39CM Albatros
Aero L-39 Albatros|L-39ZAM Albatros
Vrtuľníkové krídlo generálplukovníka Jána Ambruša Prešov|Vrtuľníkové krídlo generálplukovníka Jána Ambruša
Letecká základňa Prešov|Prešov
Sikorsky UH-60 Black Hawk|UH-60M Black Hawk
Mil Mi-17|Mi-17LPZS
Mil Mi-17|Mi-17M
Protilietadlová raketová brigáda Nitra|Protilietadlová raketová brigáda obrancov Tobruku
Nitra|Nitre
S-300|S-300PMU
2K12 Kub|2K12M2 Kub-M2
9K38 Igla|9K38 Igla-2
Brigáda riadenia vzdušných operácií Zvolen|Brigáda riadenia vzdušných operácií
Zvolen
radar|rádiolokačná výzbroj
Stíhacie lietadlo|Stíhacie lietadlá
Mikojan-Gurevič MiG-29
Súbor:Slovak Air Force MiG-29AS.JPG|150px
Rusko
General Dynamics F-16 Fighting Falcon|F-16C/D Block 70
Cvičné lietadlo|Cvičné lietadlá
Aero L-39 Albatros
Súbor:Aero L-39CM Albatros, Slovakia - Air Force AN2279352.jpg|150px
Česko-Slovensko
Prieskumné lietadlo|Prieskumné lietadlá
Let L-410 Turbolet
Súbor:L-410FG Turbolet of the Slovak Air Force.jpg|150px
Česko-Slovensko
fotogrametria|fotogrametrické lietadlo
Dopravné lietadlo|Dopravné lietadlá
Alenia C-27J Spartan|Leonardo C-27J Spartan
Súbor:2019 Royal International Air Tattoo 1P4A8310 (48387127226).jpg|150px
Taliansko
Let L-410 Turbolet
Súbor:L-410UVP Slovak Air Force.JPG|150px
Česko-Slovensko
Česko
Helikoptéra|Vrtuľníky
Mil Mi-17
Súbor:Mil Mi-17, Slovakia - Air Force AN2224387.jpg|150px
Sovietsky zväz|ZSSR
Sikorsky UH-60 Black Hawk|UH-60M Black Hawk
Sikorsky UH-60 Black Hawk
Súbor:Slovenský UH-60M 7449.jpg|150px
Spojené štáty|USA
Stíhacie lietadlo|Stíhacie lietadlá
General Dynamics F-16 Fighting Falcon|Lockheed Martin F-16 Fighting Falcon
Súbor:USAF F-16C Profile.jpg|150px
Spojené štáty|USA
Helikoptéra|Vrtuľníky
Bell 429 GlobalRanger
Súbor:Bell 429 Slovak police (cropped).jpg|150px
Spojené štáty|USA
Kanada
Stíhacie lietadlo|Stíhacie lietadlá
Mikojan-Gurevič MiG-21
Súbor:MiG-21 (12891131583).jpg|150px
Sovietsky zväz|ZSSR
Bojové lietadlo|Bojové lietadlá
Suchoj Su-17 (Su-20, Su-22)|Suchoj Su-22
Súbor:Su-22M4 Slovakia (21986303628).jpg|150px
Sovietsky zväz|ZSSR
Suchoj Su-25
Súbor:Su-25 Slovakia (21553040383).jpg|150px
Sovietsky zväz|ZSSR
Dopravné lietadlo|Dopravné lietadlá
Antonov An-12
Súbor:Antonov An-12BP, Slovakia - Air Force AN1357099.jpg|150px
Sovietsky zväz|ZSSR
Antonov An-24
Súbor:Slovak Air Force Antonov An-24 Goetting-1.jpg|150px
Sovietsky zväz|ZSSR
Antonov An-26
Súbor:Slovak Air Force Antonov An-26 Bidini-1.jpg|150px
Sovietsky zväz|ZSSR
Jakovlev Jak-40
Súbor:Slovak Air Force Yakovlev Yak-40 Lebeda-1.jpg|150px
Sovietsky zväz|ZSSR
Tupolev Tu-154
Súbor:122ai - Slovak Republic Tupolev 154M, OM-BYR@ZRH,28.01.2001 - Flickr - Aero Icarus.jpg|150px
Sovietsky zväz|ZSSR
Cvičné lietadlo|Cvičné lietadlá
Aero L-29 Delfín
Súbor:L-29 Sovakia (22211294871).jpg|150px
Česko-Slovensko
Helikoptéra|Vrtuľníky
Mil Mi-2
