Link,Alt_Text
['slovensko'],"['slovenský', 'republika']"
"['slovenský', 'republika', '1939', '–', '1945']","['vojnový', 'slovenský', 'štát']"
['slovensko'],
['generálmajor'],
"['ľubomír', 'svoboda']",
"['dopravné', 'krídlo', 'generál', 'milana', 'rastislava', 'štefánika', 'kuchyňa']","['dopravné', 'krídlo', 'generál', 'milana', 'rastislava', 'štefánika']"
"['taktický', 'krídlo', 'generálmajor', 'otta', 'smika', 'sliač']","['taktický', 'krídlo', 'generálmajor', 'otta', 'smika']"
"['vrtuľníkový', 'krídlo', 'generálplukovník', 'jána', 'ambruša', 'preš']","['vrtuľníkový', 'krídlo', 'generálplukovník', 'jána', 'ambruša']"
"['protilietadlový', 'raketový', 'brigáda', 'nitra']","['protilietadlový', 'raketový', 'brigáda', 'obranca', 'tobruku']"
"['brigáda', 'riadenie', 'vzdušný', 'operácia', 'zvolen']","['brigáda', 'riadenie', 'vzdušný', 'operácia']"
"['súbor', 'official-emblem-of-ossr', 'png']",['22px']
"['ozbrojený', 'sila', 'slovenský', 'republika']",
"['súbor', 'coat', 'arms', 'slovakia', 'svg']",['75px']
"['súbor', 'roundel', 'slovakia', '–', 'low', 'visibility', 'svg']",['75px']
"['aero', 'l-39', 'albatros']",['l-39zam']
Link,Alt_Text
"['let', 'l-410', 'turbolet']",['l-410fg']
"['mikojan-gurevič', 'mig-29']","['mig-29as', 'ubs']"
"['aero', 'l-39', 'albatros']","['l-39cm', 'zam']"
"['alenia', 'c-27j', 'spartan']",['c-27j']
"['let', 'l-410', 'turbolet']","['l-410uvp-e14', '20']"
"['sikorsky', 'uh-60', 'black', 'hawk']",['uh-60m']
"['mil', 'mi-17']","['mi-17m', 'lpzs']"
"['ozbrojený', 'sila', 'slovenský', 'republika']","['ozbrojený', 'sila']"
['slovensko'],"['slovenský', 'republika']"
['generálmajor'],
"['ľubomír', 'svoboda']",
"['štefan', 'gombík']",
"['jozef', 'dunaj']",
"['juraj', 'baránek']",
"['martin', 'babiak']",
Link,Alt_Text
"['miroslav', 'korba']",
"['ľubomír', 'svoboda']",
['1989'],
"['česko-slovenská', 'armáda']","['česko-slovenskej', 'armáda']"
"['7', 'máj']",
['1991'],
"['letisko', 'sliač']",['sliač']
"['30', 'november']","['30', 'november']"
['zvolen'],
['nitra'],['nitre']
['rožňava'],['rožňave']
['pezinok'],['pezinku']
['október'],['október']
['1992'],
"['český', 'a', 'slovenský', 'federatívny', 'republika']",['čsfr']
Link,Alt_Text
['česko-slovensko'],['česko-slovenska']
"['1', 'november']","['1', 'november']"
['trenčín'],
"['1', 'január']",
['1993'],
['slovensko'],"['slovenský', 'republika']"
"['biely', 'albatros']",
"['royal', 'international', 'air', 'tattoo']",
"['rafať', 'fairford']",['fairforde']
"['mikojan-gurevič', 'mig-29']",['mig-29a']
"['mikojan-gurevič', 'mig-29']",['mig-29ub']
"['mikojan-gurevič', 'mig-21']",['mig-21ma']
"['mikojan-gurevič', 'mig-21']",['mig-21mf']
"['mikojan-gurevič', 'mig-21']",['mig-21r']
"['mikojan-gurevič', 'mig-21']",['mig-21um']
Link,Alt_Text
"['mikojan-gurevič', 'mig-21']",['mig-21us']
"['suchoj', 'su-22', 'su-17', 'su-20']",['su-22m4']
"['suchoj', 'su-22', 'su-17', 'su-20']",['su-22um-3k']
"['suchoj', 'su-25']",['su-25k']
"['suchoj', 'su-25']",['su-25ubk']
"['aero', 'l-29', 'delfín']",['l-29']
"['aero', 'l-39', 'albatros']",['l-39c']
"['aero', 'l-39', 'albatros']",['l-39ms']
"['aero', 'l-39', 'albatros']",['l-39v']
"['aero', 'l-39', 'albatros']",['l-39za']
"['mil', 'mi-2']",['mi-2']
"['mil', 'mi-8']",['mi-8ppa']
"['mil', 'mi-8']",['mi-8ps']
"['mil', 'mi-8']",['mi-8t']
"['mil', 'mi-17']",['mi-17']
Link,Alt_Text
"['mil', 'mi-17']",['mi-17z-2']
"['mil', 'mi-24']",['mi-24d']
"['mil', 'mi-24']",['mi-24du']
"['mil', 'mi-24']",['mi-24v']
"['let', 'l-410', 'turbolet']",['l-410ma']
"['let', 'l-410', 'turbolet']",['l-410fg']
"['let', 'l-410', 'turbolet']",['l-410uvp']
"['let', 'l-410', 'turbolet']",['l-410uvp-e']
"['let', 'l-410', 'turbolet']",['l-410uvp-t']
"['anton', 'an-12']",['an-12bp']
"['anton', 'an-24']",['an-24v']
"['anton', 'an-26']",['an-26']
"['tupolev', 'tu-154']",['tu-154b-2']
['december'],['december']
['1993'],
Link,Alt_Text
['január'],
['1994'],
"['1', 'november']","['1', 'november']"
"['mikojan-gurevič', 'mig-29']","['mikojan-gurevič', 'mig-29a']"
['1995'],
['ustka'],
['poľsko'],['poľsku']
['1996'],
['šabla'],
['bulharsko'],['bulharsku']
"['mikojan-gurevič', 'mig-29']",['mig-29a']
"['mikojan-gurevič', 'mig-21']",['mig-21mf']
"['k-13', 'raketa', 'vzduch-vzduch']",['r-3s']
"['k-13', 'raketa', 'vzduch-vzduch']",['r-13']
"['r-60', 'raketa', 'vzduch-vzduch']",['r-60']
Link,Alt_Text
"['s-125', 'neva', 'pečora']",['s-125']
"['ivan', 'hůlek']","['ivana', 'hůleka']"
"['royal', 'international', 'air', 'tattoo']",
"['rafať', 'fairford']",['fairforde']
"['15', 'marec']","['15', 'marec']"
"['aero', 'l-29', 'delfín']","['l-29', 'delfín']"
['december'],['december']
['január'],
['1996'],
"['mikojan-gurevič', 'mig-21']",['migy-21mf']
"['letisko', 'sliač']",['sliač']
['1998'],
['1999'],
"['mikojan-gurevič', 'mig-29']",['mig-29']
"['1', 'január']",
Link,Alt_Text
['2000'],
"['veliteľstvo', 'vzdušný', 'sila', 'ozbrojený', 'sila', 'slovenský', 'republika']","['veliteľstvo', 'vzdušný', 'sila']"
"['jozef', 'dunaj']",
"['3', 'jún']",
"['biely', 'albatros']",
"['aero', 'l-39', 'albatros']","['l-39c', 'albatros']"
['2002'],
"['2k12', 'kub']",
"['6', 'november']","['6', 'november']"
"['stredoeurópsky', 'čas']",['seč']
"['organizácia', 'severoatlantický', 'zmluva']",['nato']
['2003'],
"['suchoj', 'su-17', 'su-20', 'su-22']","['suchoj', 'su-22']"
"['suchoj', 'su-25']",
"['aero', 'l-29', 'delfín']",
Link,Alt_Text
"['mikojan-gurevič', 'mig-21']",
['2004'],
['2006'],
"['medzinárodný', 'organizácia', 'civilný', 'letectvo']",['icao']
"['29', 'február']",
['2008'],
"['19', 'január']",
['2006'],
